driverId,week,hours-logged,miles-logged
97,24,60,500
41,40,55,1400
17,8,64,3000
22,23,70,1300
30,30,78,2600
23,45,54,3200
79,1,69,3600
105,37,58,2900
62,37,77,1900
75,31,61,3300
94,5,69,100
33,22,64,1300
48,41,67,2200
60,38,53,2700
85,12,75,1500
52,37,56,900
101,2,76,2500
81,37,62,3100
76,29,58,800
95,15,73,4000
27,19,79,0
107,33,53,2400
74,33,69,300
85,27,79,1800
96,12,80,3600
23,48,80,3300
76,33,71,2000
53,48,66,1700
24,32,64,2600
72,4,67,3500
92,9,58,3600
19,25,53,2600
79,52,51,300
50,52,61,1000
38,3,52,2700
32,47,80,1400
15,46,59,3000
68,36,61,0
30,48,52,700
55,14,68,400
81,22,50,2600
76,50,65,3200
43,27,76,1100
57,8,70,200
48,9,61,2900
79,1,52,3700
42,18,53,200
16,22,75,3700
82,9,52,300
92,40,50,2000
70,24,63,700
45,24,80,3200
107,45,53,2900
105,41,51,900
49,9,70,1400
85,45,55,2900
83,47,57,3600
77,15,59,1100
88,15,61,3600
20,40,60,3900
28,45,75,3400
44,17,53,1200
58,45,66,1500
102,44,74,2100
62,36,75,3800
47,45,69,2800
39,29,65,2800
53,15,75,1200
42,14,51,3800
28,35,76,3300
103,41,79,100
24,19,60,500
45,8,67,3900
102,19,57,3200
81,30,54,2000
28,20,58,1200
106,3,52,2400
27,22,70,1000
29,18,70,2800
17,35,71,2500
15,34,62,2100
33,41,51,500
54,39,58,1100
68,9,55,800
104,37,80,1200
46,2,58,3600
89,20,69,3900
43,52,57,1200
48,49,75,1000
103,8,79,600
15,17,78,2100
44,23,68,0
68,37,70,3500
33,19,79,2900
103,15,57,1600
43,4,61,1500
14,36,59,1700
19,13,56,2700
46,28,63,3100
96,46,62,1200
14,14,51,1500
27,42,70,100
28,46,63,0
76,51,67,1300
65,17,71,100
70,1,77,1500
55,35,79,1500
20,23,79,0
58,12,63,500
24,29,51,1700
58,22,67,3800
43,45,76,1000
30,46,65,1800
54,32,75,1400
43,41,68,1700
52,41,77,2700
18,9,74,300
100,42,64,300
43,34,69,3100
73,47,56,200
97,32,52,600
52,46,62,1600
106,45,65,1000
51,15,75,400
60,35,76,2100
67,21,58,3500
32,26,59,1000
69,52,79,0
16,48,67,800
39,38,58,1000
54,28,77,800
106,8,66,1800
24,48,72,3500
44,38,80,3400
12,2,55,2900
109,28,60,1000
103,41,54,1100
62,35,62,2500
95,36,62,1000
109,12,75,700
28,34,77,3700
33,39,68,900
96,45,55,900
36,22,72,3100
18,50,62,300
106,44,56,3100
53,31,78,100
63,25,53,2800
57,29,79,500
26,1,71,1000
63,24,63,700
59,44,65,3600
93,46,76,1400
28,39,75,2300
